Titlu;Localitate;Suprafata teren;Suprafata utila;Stare;Numar camere;Numar bai;Mobilat;Tip tranzactie;Pret
Casa individuala de vanzare curte proprie pivnita Orasul de;Sibiu / Sibiu;198 m²;101 m²;Bună;4;2;Complet;Vânzare;289.990 €
Casa individuala cu 4 camere 3 bai si garaj Trei Stejari Sib;Sibiu / Sibiu;235 m²;120 m²;Bună;4;3;Complet;Vânzare;315.000 €
Casa de vanzare 6 camere loc de relaxare garaj teren 669 mp;Sibiu / Cornatel;669 m²;340 m²;Bună;5+;3;Complet;Vânzare;200.000 €
Casa tip duplex de vanzare 4 camere 2 bai 2 parcari Arhitect;Sibiu / Sibiu;229 m²;117 m²;Bună;5;2;Complet;Vânzare;207.900 €
Casa batraneasca $ teren 2064mp$ Sucevita;Suceava / Sucevita;2064 m²;20 m²;De renovat;2;1;Nemobilat;Vânzare;70.000 €
Casa cu 5 camere construita in 2012 in zona Vasile Aaron din;Sibiu / Sibiu;350 m²;155 m²;Bună;5;2;Complet;Vânzare;328.000 €
Casa 4 camere 105 mpu acces auto si gradina in Cartierul Arh;Sibiu / Sibiu;119 m²;105 m²;Bună;4;2;Complet;Vânzare;206.000 €
Casa moderna de vanzare in localitatea Cristian din judetul;Sibiu / Cristian;172 m²;145 m²;Bună;5;3;Complet;Vânzare;199.900 €
De vanzare casa individuala stil mediteranian curte 704 mp B;Cluj / Cluj-Napoca;704 m²;234 m²;Bună;5;4;Complet;Vânzare;680.000 €
COMISION 0%$ CASA P+M+POD $ MIROSLAVA - CENTRU;Iasi / Iasi;600 m²;186 m²;Bună;5+;3;Parțial;Vânzare;269.000 €
Vila $ D+P+1+M+POD$ 474 mp$ Valea Lupului;Iasi / Valea Lupului;500 m²;474 m²;Nouă;5+;5;;Vânzare;299.900 €
Duplex teren 280 mp si terasa cu panorama spectaculoasa spre;Cluj / Cluj-Napoca;280 m²;125 m²;Bună;4;3;Complet;Vânzare;464.900 €
Casa individuala de vanzare 6 camere teren 650 garaj Piata C;Sibiu / Sibiu;650 m²;148 m²;Bună;5+;2;Parțial;Vânzare;349.990 €
Casa de vanzare cu 6 camere 2 parcari curte libera 200 mp in;Sibiu / Sibiu;300 m²;178 m²;Bună;5+;2;Complet;Vânzare;196.990 €
Casă cu dormitor/ birou la parter$ 5 camere. Popas Pacurari;Iasi / Iasi;200 m²;115 m²;Bună;5;2;Nemobilat;Vânzare;157.000 €
Comision 0% Casa superba in marginimea Sibiului Apoldu de Jo;Sibiu / Apoldu De Jos;463 m²;230 m²;Bună;4;2;Complet;Vânzare;175.000 €
Spatiu de vanzare in Valea Macesului judel Valcea iesire la;Valcea / Valea Macesului;3400 m²;1091 m²;Bună;5+;27;Complet;Vânzare;850.000 €
